city08,comb08,cylinders,displ,fuelType,highway08,make,model,trany,VClass,year
city MPG,combined MPG,engine cylinders,engine displacement in liters,fuel type,highway MPG,manufacturer,model name,transmission descriptor,EPA vehicle size class,model year
15,18,6,3,Premium,22,Acura,NSX,Automatic 4-spd,Two Seaters,2000
15,18,6,3.2,Premium,22,Acura,NSX,Manual 6-spd,Two Seaters,2000
17,19,6,3.2,Premium,23,BMW,M Coupe,Manual 5-spd,Two Seaters,2000
17,19,6,2.8,Premium,24,BMW,Z3 Coupe,Automatic 4-spd,Two Seaters,2000
17,19,6,2.8,Premium,24,BMW,Z3 Coupe,Manual 5-spd,Two Seaters,2000
17,19,6,2.5,Premium,24,BMW,Z3 Roadster,Automatic 4-spd,Two Seaters,2000
17,20,6,2.5,Premium,25,BMW,Z3 Roadster,Manual 5-spd,Two Seaters,2000
17,19,6,2.8,Premium,24,BMW,Z3 Roadster,Automatic 4-spd,Two Seaters,2000
17,19,6,2.8,Premium,24,BMW,Z3 Roadster,Manual 5-spd,Two Seaters,2000
12,15,8,4.9,Premium,19,BMW,Z8,Manual 6-spd,Two Seaters,2000
15,18,8,5.7,Premium,23,Chevrolet,Corvette,Automatic 4-spd,Two Seaters,2000
16,19,8,5.7,Premium,25,Chevrolet,Corvette,Manual 6-spd,Two Seaters,2000
11,14,10,8,Premium,19,Dodge,Viper Convertible,Manual 6-spd,Two Seaters,2000
11,14,10,8,Premium,19,Dodge,Viper Coupe,Manual 6-spd,Two Seaters,2000
10,11,8,3.6,Premium,15,Ferrari,360 Modena/Spider,Manual 6-spd,Two Seaters,2000
10,11,8,3.6,Premium,15,Ferrari,360 Modena/Spider,Automatic (S6),Two Seaters,2000
8,9,12,5.5,Premium,12,Ferrari,550 Maranello,Manual 6-spd,Two Seaters,2000
49,53,3,1,Regular,61,Honda,Insight,Manual 5-spd,Two Seaters,2000
18,20,4,2,Premium,23,Honda,S2000,Manual 6-spd,Two Seaters,2000
14,16,8,3.5,Premium,21,Lotus,Esprit V8,Manual 5-spd,Two Seaters,2000
20,22,4,1.8,Regular,25,Mazda,MX-5 Miata,Automatic 4-spd,Two Seaters,2000
22,24,4,1.8,Regular,27,Mazda,MX-5 Miata,Manual 5-spd,Two Seaters,2000
21,23,4,1.8,Regular,26,Mazda,MX-5 Miata,Manual 6-spd,Two Seaters,2000
14,17,8,5,Premium,21,Mercedes-Benz,SL500,Automatic 5-spd,Two Seaters,2000
